url,title,authors,publisher,pubdate,price,rating,votes,want_to_read,reading,read
https://book.douban.com/subject/1043815/,骆驼祥子,老舍,人民文学出版社,1962-10-1,12.00元,8.6,226489,48750,2754,486926
https://book.douban.com/subject/1070851/,倚天屠龙记,金庸,生活·读书·新知三联书店,1999-04,47.00,8.7,66535,20097,926,128659
https://book.douban.com/subject/1080370/,情书,[日] 岩井俊二,天津人民出版社,2004-7,18.00元,8.6,114065,83044,2256,176894
https://book.douban.com/subject/1088581/,浮生六记,（清）沈复,人民文学出版社,1999-1,38,8.7,75601,87373,10414,135322
https://book.douban.com/subject/1321017/,九州·缥缈录,江南,新世界出版社,2005-6,20.00元,8.8,33276,30936,1527,69905
https://book.douban.com/subject/1949420/,孙子兵法,孙武,上海古籍出版社,2006-7,20.00元,9.4,15586,33345,2448,30797
https://book.douban.com/subject/1964774/,论语,,中华书局,2006-12,9.80元,9.1,26808,22706,2548,80862
https://book.douban.com/subject/1970428/,激荡三十年（上）,吴晓波,中信出版社 浙江人民出版社,2007-1,35.00,8.8,33760,50066,4718,49815
https://book.douban.com/subject/1974029/,坟,鲁迅,人民文学出版社,2006-12,16.00元,9.6,14292,18918,658,24169
https://book.douban.com/subject/2046236/,庄子,孙通海 译注,中华书局,2007-04,20.00元,9.4,13797,31555,3332,27773
https://book.douban.com/subject/2136140/,雨季不再来,三毛,北京十月文艺出版社,2007-7,28.00元,8.8,59946,36973,1943,106665
https://book.douban.com/subject/21570668/,会饮篇,[古希腊] 柏拉图,商务印书馆,2013-1,12.00元,9.3,14311,26463,1079,20116
https://book.douban.com/subject/2160556/,十万个为什么,,少年儿童出版社,1962-12,,9.2,22588,12866,486,55502
https://book.douban.com/subject/24754316/,最好的我们,八月长安,湖南文艺出版社,2013-8-5,55,8.8,76667,40875,1201,164834
https://book.douban.com/subject/25887933/,白痴,[俄] 陀思妥耶夫斯基,上海译文出版社,2015-1,68.00,9.3,16190,42121,2988,18621
https://book.douban.com/subject/2253380/,安娜·卡列尼娜,[俄] 列夫·托尔斯泰,上海文艺出版社,2007-8,37.00元,9.2,36759,77372,4235,78984
https://book.douban.com/subject/2284311/,苏菲的世界,[挪] 乔斯坦·贾德,作家出版社,2007-10,26.00元,8.8,64106,54268,11456,93852
https://book.douban.com/subject/24257229/,鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-8,34.00元,9.1,94909,111929,10526,131022
https://book.douban.com/subject/24382569/,一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2013-6,25.00元,8.7,65200,88294,2022,86915
https://book.douban.com/subject/26357614/,海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,上海文艺出版社,2015-6-1,CNY 20.00,9.0,23008,77425,2775,31903
