id,book_url,source,sample_size,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_pct,star_4_pct,star_3_pct,star_2_pct,star_1_pct,want_to_read,reading,read,crawled_at
142,https://book.douban.com/subject/1253310/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,79446,4966,57247,
143,https://book.douban.com/subject/1254588/,official,,,,,,,63.3,31.3,5.2,0.2,0.1,90188,3358,349903,
144,https://book.douban.com/subject/1254588/,derived,20.0,15.0,5.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,90188,3358,349903,
145,https://book.douban.com/subject/1255624/,official,,,,,,,59.4,32.7,7.1,0.5,0.2,29749,1721,168798,
146,https://book.douban.com/subject/1255624/,derived,20.0,6.0,12.0,2.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,29749,1721,168798,
147,https://book.douban.com/subject/1255625/,official,,,,,,,68.5,26.3,4.7,0.3,0.2,73006,4084,263569,
148,https://book.douban.com/subject/1255625/,derived,20.0,13.0,4.0,1.0,2.0,0.0,65.0,20.0,5.0,10.0,0.0,73006,4084,263569,
149,https://book.douban.com/subject/1321017/,official,,,,,,,54.9,33.4,10.1,0.9,0.6,30936,1527,69905,
150,https://book.douban.com/subject/1321017/,derived,20.0,15.0,2.0,3.0,0.0,0.0,75.0,10.0,15.0,0.0,0.0,30936,1527,69905,
151,https://book.douban.com/subject/1394364/,official,,,,,,,53.2,33.6,11.5,1.2,0.4,72366,2359,38853,
152,https://book.douban.com/subject/1394364/,derived,20.0,14.0,3.0,1.0,0.0,2.0,70.0,15.0,5.0,0.0,10.0,72366,2359,38853,
154,https://book.douban.com/subject/1426971/,derived,20.0,14.0,4.0,0.0,2.0,0.0,70.0,20.0,0.0,10.0,0.0,44859,3003,86855,
155,https://book.douban.com/subject/1449348/,official,,,,,,,76.4,20.1,3.2,0.2,0.1,47206,1816,152957,
156,https://book.douban.com/subject/1449348/,derived,20.0,17.0,3.0,0.0,0.0,0.0,85.0,15.0,0.0,0.0,0.0,47206,1816,152957,
157,https://book.douban.com/subject/1449351/,official,,,,,,,73.2,22.5,4.0,0.2,0.1,112478,5208,380058,
158,https://book.douban.com/subject/1449351/,derived,19.0,17.0,2.0,0.0,0.0,0.0,89.4737,10.5263,0.0,0.0,0.0,112478,5208,380058,
159,https://book.douban.com/subject/1449352/,official,,,,,,,66.0,28.5,5.1,0.3,0.1,54690,3129,321237,
160,https://book.douban.com/subject/1449352/,derived,20.0,12.0,8.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,54690,3129,321237,
161,https://book.douban.com/subject/1467022/,official,,,,,,,66.6,27.4,5.2,0.6,0.2,97636,5339,50905,
162,https://book.douban.com/subject/1467022/,derived,20.0,15.0,4.0,0.0,0.0,1.0,75.0,20.0,0.0,0.0,5.0,97636,5339,50905,
163,https://book.douban.com/subject/1476651/,official,,,,,,,63.2,29.7,6.3,0.5,0.3,240988,15994,55029,
164,https://book.douban.com/subject/1476651/,derived,19.0,15.0,2.0,0.0,0.0,2.0,78.9474,10.5263,0.0,0.0,10.5263,240988,15994,55029,
165,https://book.douban.com/subject/1760432/,official,,,,,,,72.3,23.8,3.6,0.2,0.1,75920,1871,64890,
166,https://book.douban.com/subject/1760432/,derived,20.0,14.0,6.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,75920,1871,64890,
167,https://book.douban.com/subject/1765512/,official,,,,,,,63.5,28.8,7.0,0.5,0.3,8646,377,64132,
168,https://book.douban.com/subject/1765512/,derived,18.0,12.0,6.0,0.0,0.0,0.0,66.6667,33.3333,0.0,0.0,0.0,8646,377,64132,
169,https://book.douban.com/subject/1770782/,official,,,,,,,57.5,34.8,6.9,0.6,0.2,432832,59671,1261639,
170,https://book.douban.com/subject/1770782/,derived,20.0,9.0,10.0,0.0,1.0,0.0,45.0,50.0,0.0,5.0,0.0,432832,59671,1261639,
172,https://book.douban.com/subject/1795079/,derived,20.0,18.0,1.0,1.0,0.0,0.0,90.0,5.0,5.0,0.0,0.0,156708,12079,157264,
173,https://book.douban.com/subject/1818347/,official,,,,,,,50.0,41.7,7.9,0.3,0.1,72539,1130,141206,
174,https://book.douban.com/subject/1818347/,derived,18.0,8.0,7.0,1.0,0.0,2.0,44.4444,38.8889,5.5556,0.0,11.1111,72539,1130,141206,
175,https://book.douban.com/subject/1827374/,official,,,,,,,63.8,30.6,5.3,0.3,0.1,141343,3420,267466,
176,https://book.douban.com/subject/1827374/,derived,20.0,11.0,8.0,1.0,0.0,0.0,55.0,40.0,5.0,0.0,0.0,141343,3420,267466,
177,https://book.douban.com/subject/1829226/,official,,,,,,,68.0,27.1,4.5,0.3,0.1,123395,5188,216869,
178,https://book.douban.com/subject/1829226/,derived,19.0,15.0,4.0,0.0,0.0,0.0,78.9474,21.0526,0.0,0.0,0.0,123395,5188,216869,
179,https://book.douban.com/subject/1858513/,official,,,,,,,55.8,33.9,8.8,1.0,0.5,221385,16636,328856,
180,https://book.douban.com/subject/1858513/,derived,20.0,15.0,2.0,1.0,2.0,0.0,75.0,10.0,5.0,10.0,0.0,221385,16636,328856,
181,https://book.douban.com/subject/1858568/,official,,,,,,,72.1,23.2,4.1,0.4,0.2,121521,6199,87043,
182,https://book.douban.com/subject/1858568/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,121521,6199,87043,
183,https://book.douban.com/subject/1883245/,official,,,,,,,79.1,17.5,2.9,0.3,0.2,42502,5428,64395,
184,https://book.douban.com/subject/1883245/,derived,19.0,10.0,8.0,1.0,0.0,0.0,52.6316,42.1053,5.2632,0.0,0.0,42502,5428,64395,
185,https://book.douban.com/subject/1915958/,official,,,,,,,80.7,16.3,2.7,0.3,0.1,56669,1857,93009,
186,https://book.douban.com/subject/1915958/,derived,17.0,16.0,1.0,0.0,0.0,0.0,94.1176,5.8824,0.0,0.0,0.0,56669,1857,93009,
187,https://book.douban.com/subject/1949420/,official,,,,,,,78.0,17.8,3.8,0.3,0.2,33345,2448,30797,
188,https://book.douban.com/subject/1949420/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,33345,2448,30797,
189,https://book.douban.com/subject/1964774/,official,,,,,,,68.5,22.5,6.3,1.0,1.7,22706,2548,80862,
190,https://book.douban.com/subject/1964774/,derived,20.0,11.0,9.0,0.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,22706,2548,80862,
191,https://book.douban.com/subject/1970428/,official,,,,,,,50.7,40.2,8.2,0.6,0.3,50066,4718,49815,
192,https://book.douban.com/subject/1970428/,derived,20.0,11.0,7.0,2.0,0.0,0.0,55.0,35.0,10.0,0.0,0.0,50066,4718,49815,
193,https://book.douban.com/subject/1974029/,official,,,,,,,82.9,14.8,2.0,0.2,0.2,18918,658,24169,
194,https://book.douban.com/subject/1974029/,derived,18.0,15.0,3.0,0.0,0.0,0.0,83.3333,16.6667,0.0,0.0,0.0,18918,658,24169,
195,https://book.douban.com/subject/2035162/,official,,,,,,,59.1,33.5,6.7,0.5,0.2,179218,7887,155541,
196,https://book.douban.com/subject/2035162/,derived,19.0,14.0,4.0,1.0,0.0,0.0,73.6842,21.0526,5.2632,0.0,0.0,179218,7887,155541,
197,https://book.douban.com/subject/2035171/,official,,,,,,,62.8,30.4,6.1,0.4,0.2,116441,6205,52220,
198,https://book.douban.com/subject/2035171/,derived,20.0,16.0,4.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,116441,6205,52220,
199,https://book.douban.com/subject/2035179/,official,,,,,,,71.9,24.2,3.7,0.2,0.1,185998,5665,295594,
200,https://book.douban.com/subject/2035179/,derived,15.0,12.0,3.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,185998,5665,295594,
